title,artist,Hit
Wild Ones,Flo Rida,True
Sexy And I Know It,LMFAO,True
Wide Awake,Katy Perry,True
Good Feeling,Flo Rida,True
Whistle,Flo Rida,True
One More Night,Maroon 5,True
Drive By,Train,True
Yeah!,Usher,True
Burn,Usher,True
If I Ain't Got You,Alicia Keys,True
This Love,Maroon 5,True
The Way You Move,OutKast,True
The Reason,Hoobastank,True
I Don't Wanna Know,Mario Winans,True
Hey Ya!,OutKast,True
Goodies,Ciara,True
Lean Back,Terror Squad,True
Confessions Part II,Usher,True
Freek-a-Leek,Petey Pablo,True
Here Without You,3 Doors Down,True
