,artist,title
390,Chicago,(I've Been) Searchin' So Long
391,Chicago,Hard Habit To Break
392,Chicago,What Kind Of Man Would I Be?
393,Chicago,25 Or 6 To 4
394,Chicago,You're The Inspiration
395,Chingy,Holidae In
396,Chingy,One Call Away
397,Chingy,Pullin' Me Back
398,Chris Montez,Let's Dance
399,Christina Aguilera,Ain't no Other Man
400,Christina Aguilera,Can't Hold Us Down
401,Christina Aguilera,I Turn To You
402,Christina Aguilera,Come On Over Baby
403,Christina Milian,Dip It Low
404,Christina Perri,Jar Of Hearts
405,Christopher Cross,Arthur's Theme
406,Christopher Cross,All Right
407,Christopher Cross,Sailing
408,Chubby Checker,The Fly
409,Chumbawamba,Tubthumping
410,Ciara,Like A Boy
411,Ciara,Promise
412,Clash,Rock The Casbah
413,Clay Aiken,This Is The Night
414,Clean Bandit,Rather Be
415,Cliff Richard,Devil Woman
416,Cliff Richard,A Little In Love
417,Cliff Richard,We Don't Talk Anymore
418,Climax Blues Band,Couldn't Get It Right
419,Cobra Starship,Good Girls Go Bad
420,Cobra Starship,You Make Me Feel...
421,Colbie Caillat,Fallin' For You
422,Colbie Caillat,Realize
423,Coldplay,Viva la Vida
424,Coldplay,Paradise
425,Coldplay,Speed Of Sound
426,Coldplay,A Sky Full Of Stars
427,Collective Soul,The World I Know
428,Collective Soul,Shine
429,Collective Soul,December
430,Commander Cody and His Lost Planet Airmen,Hot Rod Lincoln
431,Commodores,Easy
432,Commodores,Still
433,Commodores,Nightshift
434,Commodores,Sweet Love
435,Commodores,Oh No
436,Commodores,Lady
437,Connie Francis,Mama
438,Connie Francis,Among My Souvenirs
439,Connie Francis,Don't Break The Heart That Loves You
440,Coolio,C U When U Get There
441,Corey Hart,Never Surrender
442,Corey Hart,Sunglasses At Night
443,Cowsills,Indian Lake
444,Cowsills,"The Rain, The Park And Other Things"
445,Craig David,Fill Me In
446,Craig David,7 Days
447,Cranberries,Linger
448,Crash Test Dummies,Mmm Mmm Mmm Mmm
449,Crazy Town,Butterfly
450,Creedence Clearwater Revival,Green River
451,Creedence Clearwater Revival,Bad Moon Rising
452,"Crosby, Stills and Nash",Just A Song Before I Go
453,"Crosby, Stills and Nash",Wasted On The Way
454,Crystal Gayle,Don't It Make My Brown Eyes Blue
455,Culture Club,Time
456,Culture Club,Miss Me Blind
457,Curtis Mayfield,Superfly
458,Cutting Crew,(I Just) Died In Your Arms
459,Cyndi Lauper,Change Of Heart
460,Cyndi Lauper,All Through The Night
461,Cyndi Lauper,True Colors
462,Cyndi Lauper,She Bop
463,Cypress Hill,Insane In The Brain
464,D.H.T.,Listen To Your Heart
465,D12,My Band
466,DJ Khaled,I'm On One
467,DJ Sammy,Heaven
468,DJ Snake,You Know You Like It
469,DMX,Party Up
470,Daddy Yankee,Rompe
471,Dan Fogelberg,Longer
472,Dan Fogelberg,Leader Of The Band
473,Dan Hartman,I Can Dream About You
474,Dan Hill,Can't We Try
475,Dan Hill,Sometimes When We Touch
476,Daniel Bedingfield,If You're Not The One
477,Daniel Bedingfield,Gotta Get Thru This
478,Danny Williams,White On White
479,Darius Rucker,Wagon Wheel
480,Daryl Hall and John Oates,Rich Girl
481,Daryl Hall and John Oates,You Make My Dreams
482,Daryl Hall and John Oates,Family Man
483,Daryl Hall and John Oates,Did It In A Minute
484,Daryl Hall and John Oates,Everything Your Heart Desires
485,Daryl Hall and John Oates,Adult Education
486,Daryl Hall and John Oates,One On One
487,Daryl Hall and John Oates,Private Eyes
488,Daughtry,Home
489,Daughtry,No Surprise
490,Dave Clark Five,Can't You See That She's Mine
491,Dave Clark Five,Glad All Over
492,Dave Clark Five,Because
493,Dave Clark Five,Bits And Pieces
494,Dave Clark Five,Catch Us If You Can
495,Dave Matthews Band,The Space Between
496,David Banner,Play
497,David Banner,Get Like Me
498,David Bowie,China Girl
499,David Bowie,Golden Years
500,David Cook,The Time Of My Life
501,David Guetta,Titanium
502,David Guetta,Hey Mama
503,David Guetta,Sexy Chick
504,David Guetta,Without You
505,David Guetta,Turn Me On
506,David Houston,Almost Persuaded
507,Dazz Band,Let It Whip
508,Dean Friedman,Ariel
509,Debarge,Rhythm Of The Night
510,Deep Blue Something,Breakfast At Tiffany's
511,Deep Purple,Smoke On The Water
512,Def Leppard,Love Bites
513,Def Leppard,Armageddon It
514,Del Amitri,Roll To Me
515,Del Shannon,Hats Off To Larry
516,Delbert McClinton,Giving It Up For Your Love
517,Delfonics,La-La Means I Love You
518,Dem Franchize Boyz,"Lean Wit It, Rock Wit It"
519,Demi Lovato,Heart Attack
520,Demi Lovato,Cool For The Summer
521,Demi Lovato,Give Your Heart A Break
522,Depeche Mode,Enjoy The Silence
523,Derek and The Dominos,Layla
524,Destiny's Child,Soldier
525,Destiny's Child,Survivor
526,Destiny's Child,Cater 2 U
527,Destiny's Child,Bootylicious
528,Destiny's Child,Lose My Breath
529,Diana King,Shy Guy
530,Diana Ross,Missing You
531,Diana Ross,It's My Turn
532,Diana Ross,Why Do Fools Fall In Love?
533,Diana Ross and The Supremes,Reflections
534,Diana Ross and The Supremes,Love Child
535,Digital Underground,The Humpty Dance
536,Dionne Warwick,(Theme From) Valley Of The Dolls
537,Dionne Warwick,Then Came You
538,Dionne Warwick,Walk On By
539,Dionne Warwick,Alfie
540,Dionne Warwick,Anyone Who Had A Heart
541,Dionne Warwick,This Girl's In Love With You
542,Dionne Warwick,I'll Never Love This Way Again
543,Dire Straits,Walk Of Life
544,Dire Straits,Sultans Of Swing
545,Disclosure,Latch
546,Divinyls,I Touch Myself
547,Dixie Chicks,Landslide
548,Dolly Parton,Here You Come Again
549,Don Henley,The Boys Of Summer
550,Don Henley,Dirty Laundry
551,Don Mclean,Crying
552,Donell Jones,U Know What's Up
553,Donny Osmond,Soldier Of Love
554,Donny Osmond,Sweet And Innocent
555,Donny Osmond,Puppy Love
556,Doors,Touch Me
557,Dottie West,What Are We Doin' In Love
558,Dr. Dre,Dre Day
559,Dr. Dre,Keep Their Heads Ringin'
560,Dr. Dre,I Need A Doctor
561,Dr. Dre,Forget About Dre
562,Dr. Hook,Better Love Next Time
563,Dr. Hook,Sexy Eyes
564,Dr. Hook,Only Sixteen
565,Dr. Hook,Sharing The Night Together
566,Dr. Hook,A Little Bit More
567,Dr. Hook and The Medicine Show,Sylvia's Mother
568,Dr. John,"Right Place, Wrong Time"
569,Dramatics,In The Rain
570,Dramatics,Whatcha See Is Whatcha Get
571,Dusty Springfield,You Don't Have To Say You Love Me
572,Dusty Springfield,Wishin' And Hopin'
573,E-40,U and Dat
574,"Earth, Wind and Fire",After The Love Has Gone
575,"Earth, Wind and Fire",That's The Way Of The World
576,"Earth, Wind and Fire",Sing A Song
577,"Earth, Wind and Fire",Boogie Wonderland
578,"Earth, Wind and Fire",Let's Groove
579,Echosmith,Cool Kids
580,Ed Sheeran,Photograph
581,Ed Sheeran,Sing
582,Ed Sheeran,Don't
583,Eddie Kendricks,Keep On Truckin'
584,Eddie Kendricks,Boogie Down
585,Eddie Money,Baby Hold On
586,Eddie Money,Think I'm In Love
587,Eddie Money,Take Me Home Tonight
588,Eddie Money,Walk On Water
589,Edison Lighthouse,Love Grows
590,Edwin McCain,I'll Be
591,Edwin Starr,Twenty-five Miles
592,Eiffel 65,Blue
593,El Debarge,Who's Johnny
594,Electric Light Orchestra,Evil Woman
595,Electric Light Orchestra,Shine A Little Love
596,Ellie Goulding,Burn
597,Elliott Yamin,Wait For You
598,Elton John,I'm Still Standing
599,Elton John,I Guess That's Why They Call It The Blues
600,Elton John,Mama Can't Buy You Love
601,Elton John,Rocket Man
602,Elton John,Daniel
603,Elton John,Lucy In The Sky With Diamonds
604,Elton John,Sad Songs
605,Elton John,Candle In The Wind
606,Elton John,The One
607,Elton John,I Don't Wanna Go On With You Like That
608,Elton John,Blue Eyes
609,Elton John,Believe
610,Elton John,Goodbye Yellow Brick Road
611,Elton John,Island Girl
612,Elvin Bishop,Fooled Around And Fell In Love
613,Elvis Presley,Way Down
614,Elvis Presley,(You're The) Devil In Disguise
615,Elvis Presley,In The Ghetto
616,Elvis Presley,Little Sister
617,Elvis Presley,Burning Love
618,Elvis Presley,(Marie's The Name) His Latest Flame
619,Elvis Presley,Can't Help Falling In Love
620,Elvis Presley,Surrender
621,Eminem,Shake That
622,Eminem,The Real Slim Shady
623,Eminem,Berzerk
624,Eminem,Not Afraid
625,Eminem,Cleanin' out my Closet
626,Eminem,Mockingbird
627,En Vogue,Giving Him Something He Can Feel
628,Engelbert Humperdinck,Release Me
629,Engelbert Humperdinck,After The Lovin'
630,England Dan and John Ford Coley,Love Is The Answer
631,Enigma,Return To Innocence
632,Enrique Iglesias,Be With You
633,Enrique Iglesias,Escape
634,Enrique Iglesias,Bailando
635,Enrique Iglesias,Bailamos
636,Enya,Only Time
637,Erasure,Always
638,Eric Burdon,Sky Pilot
639,Eric Carmen,All By Myself
640,Eric Church,Springsteen
641,Eric Clapton,I Can't Stand It
642,Erykah Badu,Bag Lady
643,Eurythmics,Would I Lie To You?
644,Eurythmics,Here Comes The Rain Again
645,"Evelyn ""Champagne"" King",Shame
646,Everclear,Wonderful
647,Everlast,What It's Like
648,Everly Brothers,So Sad
649,Everly Brothers,Let It Be Me
650,Everly Brothers,Walk Right Back
651,Everly Brothers,Crying In The Rain
652,Extreme,Hole Hearted
653,Eydie Gorme,Blame It On The Bossa Nova
654,Fabolous,Throw It In The Bag
655,Fabolous,Make Me Better
656,Fabolous,Into You
657,Fabolous,Can't Let You Go
658,Faith Evans,Love Like This
659,Faith Evans,I Love You
660,Faith Evans,All Night Long
661,Faith Hill,There You'll Be
662,Faith Hill,This Kiss
663,Fall Out Boy,"This Ain't A Scene, It's An Arms Race"
664,Fall Out Boy,"Sugar, We're Goin' Down"
665,Fall Out Boy,Thnks Fr Th Mmrs
666,Fall Out Boy,Uma Thurman
667,Fall Out Boy,Centuries
668,Fall Out Boy,"Dance, Dance"
669,Far East Movement,Like A G6
670,Fat Joe,Get It Poppin'
671,Fat Joe,Make It Rain
672,Fats Domino,Walking To New Orleans
673,Fergie,Clumsy
674,Ferlin Husky,Wings Of A Dove
675,Fetty Wap,My Way
676,Fifth Harmony,Worth It
677,Filter,Take A Picture
678,Fine Young Cannibals,Good Thing
679,Finger Eleven,One Thing
