playlistID,TrackName,TrackID,SampleURL,ReleaseYear,Genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,Popularity
1uebWA75dLHSkk7XavGMaB,Miss Me Blind,25xpfEOpNCf1HSRqJ7ad8Q,https://p.scdn.co/mp3-preview/c77c4ee0cb965b17a97d6b328bb93fb7885c350a?cid=961d9cfe0e7c426da68d7932c2693fc9,2023-09-22,"['new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",0.786,0.652,-11.351,0.0408,0.354,0.0,0.145,0.853,121.928,7,0,270093,2.0
1uebWA75dLHSkk7XavGMaB,Superfly,4XsH9zBWPOCdXoH9ZDdS8r,https://p.scdn.co/mp3-preview/3d55687af6918df901ea6a4bd588790a026327bb?cid=961d9cfe0e7c426da68d7932c2693fc9,1972-07-01,"['chicago soul', 'classic soul', 'funk', 'soul']",0.784,0.708,-9.141,0.11,0.457,7.5e-05,0.0913,0.748,120.11,2,1,233600,62.0
1uebWA75dLHSkk7XavGMaB,(I Just) Died In Your Arms,4ByEFOBuLXpCqvO1kw8Wdm,https://p.scdn.co/mp3-preview/3b38a8a511f4f6717fbf046bdad469a5a6e4ae55?cid=961d9cfe0e7c426da68d7932c2693fc9,1986-01-01,"['album rock', 'new romantic', 'new wave', 'new wave pop', 'soft rock']",0.625,0.726,-11.402,0.0444,0.0158,0.000169,0.0625,0.507,124.945,11,0,280400,78.0
1uebWA75dLHSkk7XavGMaB,Change of Heart,4Kvz5bhHNYPSaGnQ7PsTBi,https://p.scdn.co/mp3-preview/b624a603af89a8c257a931b0b1ee820552ce3164?cid=961d9cfe0e7c426da68d7932c2693fc9,1986-10-14,"['dance pop', 'new wave pop', 'permanent wave', 'soft rock']",0.706,0.847,-6.134,0.0831,0.226,0.000104,0.0632,0.495,119.768,1,1,264773,48.0
1uebWA75dLHSkk7XavGMaB,All Through the Night,2CIDqYfIYfl9vx02wIyCG9,https://p.scdn.co/mp3-preview/1b4e115c0d598db2080e0505fe057cc3c35e6c8f?cid=961d9cfe0e7c426da68d7932c2693fc9,1983-10-14,"['dance pop', 'new wave pop', 'permanent wave', 'soft rock']",0.573,0.65,-5.934,0.0257,0.201,1.58e-06,0.048,0.346,95.1,8,1,272840,62.0
1uebWA75dLHSkk7XavGMaB,True Colors,2A6yzRGMgSQCUapR2ptm6A,https://p.scdn.co/mp3-preview/9a4a7d15bbde0b95dd8f3af4a69259eb70535130?cid=961d9cfe0e7c426da68d7932c2693fc9,1986-10-14,"['dance pop', 'new wave pop', 'permanent wave', 'soft rock']",0.397,0.207,-13.155,0.0331,0.701,3.07e-05,0.116,0.268,171.282,0,1,227600,73.0
1uebWA75dLHSkk7XavGMaB,She Bop,2FAL6hxj5Qxuj0kWOkEOsF,https://p.scdn.co/mp3-preview/899163bb8e8dcc50b497e5f0f36506b29b77941b?cid=961d9cfe0e7c426da68d7932c2693fc9,1983-10-14,"['dance pop', 'new wave pop', 'permanent wave', 'soft rock']",0.583,0.891,-4.565,0.0345,0.00088,0.000163,0.103,0.814,136.794,9,0,229267,55.0
1uebWA75dLHSkk7XavGMaB,Insane in the Brain,1oTHteQbmJw15rPxPVXUTv,https://p.scdn.co/mp3-preview/a39e9fdf3fd4ab28cd7267c31967f329a5aea0de?cid=961d9cfe0e7c426da68d7932c2693fc9,1993-07-20,"['chicano rap', 'gangster rap', 'hip hop', 'rap rock', 'west coast rap']",0.897,0.611,-10.489,0.211,0.0291,0.186,0.0894,0.769,102.304,11,1,208267,75.0
1uebWA75dLHSkk7XavGMaB,Listen to Your Heart - Edmée's Unplugged Vocal,1fKc0iaTmLrHu1V9fpH4SK,https://p.scdn.co/mp3-preview/11dc7d83ce3fb5e08acb91327d166c7235ef169c?cid=961d9cfe0e7c426da68d7932c2693fc9,2018-11-28,[unknown],0.568,0.268,-9.234,0.0307,0.839,0.0,0.0988,0.216,144.955,9,0,271040,40.0
1uebWA75dLHSkk7XavGMaB,My Band,4XHQyvbrBsQaaBUW1VvmsL,https://p.scdn.co/mp3-preview/8a50e111700a6883a04d2e15b639fa5dbebeaf5e?cid=961d9cfe0e7c426da68d7932c2693fc9,2004-01-01,"['detroit hip hop', 'gangster rap', 'hip hop']",0.851,0.849,-3.383,0.0828,0.497,2.05e-06,0.116,0.844,120.014,1,0,298773,74.0
1uebWA75dLHSkk7XavGMaB,I'm the One,3DXncPQOG4VBw3QHh3S817,https://p.scdn.co/mp3-preview/80ca4bb6fc9469ab141650c2ace64e641382db96?cid=961d9cfe0e7c426da68d7932c2693fc9,2017-06-22,"['hip hop', 'miami hip hop', 'pop rap', 'rap']",0.609,0.668,-4.284,0.0367,0.0552,0.0,0.167,0.811,80.924,7,1,288600,73.0
1uebWA75dLHSkk7XavGMaB,Heaven,72SpPFrMYCXLB3Fbw9tEgf,https://p.scdn.co/mp3-preview/241d395491e10ca5367dce1fb128ffdb327784b7?cid=961d9cfe0e7c426da68d7932c2693fc9,2002-02-26,['eurodance'],0.571,0.953,-5.601,0.0548,0.0011,0.000606,0.226,0.601,137.965,8,1,233600,66.0
1uebWA75dLHSkk7XavGMaB,You Know You Like It,57kR5SniQIbsbVoIjjOUDa,https://p.scdn.co/mp3-preview/2bb86fdf96a345fd24d4f88726bb05af534ea611?cid=961d9cfe0e7c426da68d7932c2693fc9,2014-10-14,"['edm', 'electronic trap', 'pop', 'pop dance']",0.407,0.725,-5.346,0.188,0.0141,2.46e-06,0.306,0.247,196.093,5,0,247267,72.0
1uebWA75dLHSkk7XavGMaB,Party Up,0LWkaEyQRkF0XAms8Bg1fC,https://p.scdn.co/mp3-preview/40aaa60da6c11f31a8a2af11be81a2a52c0e61dc?cid=961d9cfe0e7c426da68d7932c2693fc9,1999-12-21,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",0.51,0.931,-3.302,0.347,0.0738,0.0,0.5,0.53,201.936,11,1,268867,73.0
1uebWA75dLHSkk7XavGMaB,Rompe,4Xtlw8oXkIOvzV7crUBKeZ,https://p.scdn.co/mp3-preview/de49e94a9bd90a86ae9e074fe2b81c5cbcdc4f48?cid=961d9cfe0e7c426da68d7932c2693fc9,2005-01-01,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",0.696,0.858,-5.155,0.0859,0.0727,3.19e-06,0.0631,0.533,176.061,9,1,188627,76.0
1uebWA75dLHSkk7XavGMaB,Longer,56ilrbKJF2bph5W6eZaM5E,https://p.scdn.co/mp3-preview/2e85fea72b61a88748aa7333b892276873f13880?cid=961d9cfe0e7c426da68d7932c2693fc9,1979-11,"['classic rock', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock', 'yacht rock']",0.308,0.0427,-24.709,0.0336,0.865,0.0,0.179,0.383,158.399,7,1,195067,62.0
1uebWA75dLHSkk7XavGMaB,Leader of the Band,3O4s2m47MFhnGqmpkjoKYk,https://p.scdn.co/mp3-preview/52fe9090f9497939c0729f08c624ea9971580e42?cid=961d9cfe0e7c426da68d7932c2693fc9,1995,"['classic rock', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock', 'yacht rock']",0.628,0.159,-14.363,0.0333,0.872,0.0,0.111,0.505,135.003,8,1,256400,62.0
1uebWA75dLHSkk7XavGMaB,"I Can Dream About You - From ""Streets Of Fire"" Soundtrack",72JvxKnrBhZ9fC9Udv2EPR,https://p.scdn.co/mp3-preview/a2e55dd202cef4dda1cfc4ad2204656200417196?cid=961d9cfe0e7c426da68d7932c2693fc9,2023-06-27,['disco'],0.672,0.759,-5.93,0.0766,0.0524,0.0,0.0303,0.861,113.007,9,1,248000,58.0
1uebWA75dLHSkk7XavGMaB,Can't We Try,0x1RspO36DgmXbZ9XmxvsN,https://p.scdn.co/mp3-preview/b8221d60d8b73ec0b8b1666a3778b4c6d109f622?cid=961d9cfe0e7c426da68d7932c2693fc9,2001-08-08,['soft rock'],0.561,0.319,-13.418,0.0313,0.466,0.0,0.0684,0.329,120.106,9,0,239667,45.0
1uebWA75dLHSkk7XavGMaB,Sometimes When We Touch,1nAexCn3dPoFSmE7h6P5S7,https://p.scdn.co/mp3-preview/145e4500e2cc2e6bfff6f586e26b41a9992c0936?cid=961d9cfe0e7c426da68d7932c2693fc9,1977,['soft rock'],0.591,0.345,-11.007,0.0391,0.691,1.87e-06,0.0851,0.264,119.333,2,1,252693,65.0
1uebWA75dLHSkk7XavGMaB,If You're Not The One,7HhKuJbtiNbZsEDLNQvOnH,https://p.scdn.co/mp3-preview/175e00956a4e27c8279c36e73ed5e2959e60eb9a?cid=961d9cfe0e7c426da68d7932c2693fc9,2002-01-01,"['europop', 'talent show']",0.687,0.537,-7.631,0.0294,0.566,0.0,0.107,0.265,120.03,10,1,257307,64.0
1uebWA75dLHSkk7XavGMaB,Gotta Get Thru This - D'N'D Radio Edit,2xiw34lVZ9ORYM9smtvlan,https://p.scdn.co/mp3-preview/a99890ace534f30952647166eaf9d2f132d315f6?cid=961d9cfe0e7c426da68d7932c2693fc9,2019-09-13,"['europop', 'talent show']",0.836,0.762,-5.044,0.0598,0.0826,5.46e-05,0.102,0.941,133.593,7,0,162333,39.0
