Track name, Artist name, Album, Playlist name, Type, ISRC
Promises,Eric Clapton,Backless,non_hits,Playlist track,NLF057890045
How Much I Feel,Ambrosia,How Much I Feel / Ready for Camarillo,non_hits,Playlist track,USWB10902994
Suspicions,Eddie Rabbitt,All Time Greatest Hits,non_hits,Playlist track,USWB19900956
How You Gonna See Me Now,Alice Cooper,From the Inside,non_hits,Playlist track,USWB10107647
Double Vision,Foreigner,Double Vision (Expanded),non_hits,Playlist track,USAT20803023
Every Time I Think of You,The Babys,Head First,non_hits,Playlist track,GBAYK7900105
Don't Stop 'Til You Get Enough,Michael Jackson,Off the Wall,non_hits,Playlist track,USSM17900816
Somewhere In The Night,Barry Manilow,The Greatest Songs Of The Seventies,non_hits,Playlist track,USAR10700447
We've Got Tonight,Bob Seger,Stranger In Town,non_hits,Playlist track,USCA28600274
Dance the Night Away - 2015 Remaster,Van Halen,Van Halen II (Remastered),non_hits,Playlist track,USWB11500819
The Boss,Diana Ross,(A) Funky Collection,non_hits,Playlist track,USMO17984678
Sail On,Commodores,All The Great Love Songs,non_hits,Playlist track,USMO17900483
Strange Way,Firefall,Alive In America,non_hits,Playlist track,FR6V81160918
Something - Remastered 2009,The Beatles,Abbey Road (Remastered),non_hits,Playlist track,GBAYE0601691
Come Together - Remastered 2009,The Beatles,Abbey Road (Remastered),non_hits,Playlist track,GBAYE0601690
I'm Gonna Make You Love Me,Diana Ross & The Supremes,Diana Ross & The Supremes Join The Temptations,non_hits,Playlist track,USMO16882602
I Heard It Through The Grapevine,Marvin Gaye,In The Groove,non_hits,Playlist track,USMO19582697
Love Me Tonight,Tom Jones,Throwback Summer Essentials,non_hits,Playlist track,GBF076920040
My Whole World Ended (The Moment You Left Me),David Ruffin,My Whole World Ended,non_hits,Playlist track,USMO16984733
Soul Deep,The Box Tops,Dimensions,non_hits,Playlist track,USAR16900103
Hooked on a Feeling - Rerecorded,B.J. Thomas,B.J. Thomas,non_hits,Playlist track,USAFM0900759
Here I Am (Just When I Thought I Was Over You),Air Supply,The One That You Love,non_hits,Playlist track,USAR18100002
I Keep Forgettin' (Every Time You're Near),Michael McDonald,If That's What It Takes,non_hits,Playlist track,USWB19903128
Get Down On It - Single Version,Kool & The Gang,The Very Best Of Kool & The Gang (Reissue),non_hits,Playlist track,USPR38100044
Any Day Now,Ronnie Milsap,Inside,non_hits,Playlist track,USRN11400364
Make A Move On Me - Remastered 2021,Olivia Newton-John,Physical (Deluxe Edition),non_hits,Playlist track,US86A2100403
Mirror Mirror,Diana Ross,Why Do Fools Fall in Love,non_hits,Playlist track,GBAYE8100298
Vacation,The Go-Go's,Vacation,non_hits,Playlist track,USAM18204326
(Oh) Pretty Woman - 2015 Remaster,Van Halen,Diver Down (Remastered),non_hits,Playlist track,USWB11500521
Should I Do It,The Pointer Sisters,Black & White (Expanded Edition),non_hits,Playlist track,USRC18101750
Hot In The City,Billy Idol,Billy Idol,non_hits,Playlist track,USCH38400019
Kids In America,Kim Wilde,Kim Wilde,non_hits,Playlist track,GBAYE8100054
Man On Your Mind - Remastered 2010,Little River Band,Time Exposure (Remastered 2010),non_hits,Playlist track,USCA21001419
Waiting On A Friend - Remastered 2009,The Rolling Stones,Pop Rock For Kids,non_hits,Playlist track,GBUM70909484
Do I Do,Stevie Wonder,The Definitive Collection,non_hits,Playlist track,USMO10200880
Working for the Weekend,Loverboy,Get Lucky,non_hits,Playlist track,CAC228100002
Arthur's Theme (Best That You Can Do),Christopher Cross,Arthur - The Album [Original Soundtrack],non_hits,Playlist track,USWB10800109
Through The Years,Kenny Rogers,The Best Of Kenny Rogers: Through The Years,non_hits,Playlist track,USCN10500370
Edge of Seventeen,Stevie Nicks,Crystal Visions...The Very Best of Stevie Nicks,non_hits,Playlist track,USAT28300037
Un-Break My Heart,Toni Braxton,Secrets,non_hits,Playlist track,USLF29600015
You Remind Me of Something,R. Kelly,R. Kelly,non_hits,Playlist track,GBAHK9500180
Runaway,Janet Jackson,Design Of A Decade 1986/1996,non_hits,Playlist track,USAM19500810
Hit Me Off,New Edition,Home Again,non_hits,Playlist track,USMC19443691
No One Else (feat. Da Brat),Total,Total,non_hits,Playlist track,USBB40581128
Get Money,Junior M.A.F.I.A.,Conspiracy,non_hits,Playlist track,USAT20201898
That Girl,Maxi Priest,Man With The Fun,non_hits,Playlist track,USVI29600012
Until It Sleeps,Metallica,Load,non_hits,Playlist track,GBAMC9600001
Beautiful Life,Ace of Base,The Bridge,non_hits,Playlist track,SEVJH0803501
Back for Good - Radio Mix,Take That,Nobody Else (Expanded Edition),non_hits,Playlist track,GBARL9500020
Soon as I Get Home,Faith Evans,Faith,non_hits,Playlist track,USBB40580611
Only Wanna Be with You,Hootie & The Blowfish,Get Along - Country Feel Good,non_hits,Playlist track,USAT29400023
No Time,Lil' Kim,Hard Core,non_hits,Playlist track,USAT20901990
Naked Eye,Luscious Jackson,Fever In Fever Out,non_hits,Playlist track,USCA29600125
I Shot The Sheriff,Warren G,Take A Look Over Your Shoulder (Reality),non_hits,Playlist track,USRL19700007
You Should Be Mine (Don't Waste Your Time),Brian McKnight,Anytime,non_hits,Playlist track,USMR19787213
