Track name, Artist name, Album, Playlist name, Type, ISRC
Tainted Love,Soft Cell,Non-Stop Erotic Cabaret,hits,Playlist track,GBF088100017
I Can't Go for That (No Can Do),Daryl Hall & John Oates,Private Eyes (Expanded Edition),hits,Playlist track,USRC10301819
Waiting for a Girl like You,Foreigner,4 (Expanded),hits,Playlist track,USAT20803008
Don't Talk to Strangers,Rick Springfield,Success Hasn't Spoiled Me Yet,hits,Playlist track,USRC18207923
One Sweet Day,Mariah Carey,Daydream,hits,Playlist track,USSM19501117
"Because You Loved Me (Theme from ""Up Close and Personal"")",Céline Dion,Falling into You,hits,Playlist track,CAC229600025
Always Be My Baby,Mariah Carey,Daydream,hits,Playlist track,USSM19501119
Give Me One Reason,Tracy Chapman,New Beginning,hits,Playlist track,USEE19900169
Tha Crossroads,Bone Thugs-N-Harmony,E. 1999 Eternal,hits,Playlist track,US23S9528108
Twisted,Keith Sweat,Keith Sweat,hits,Playlist track,USEE19694711
Missing,Everything But The Girl,Amplified Heart,hits,Playlist track,GBAHT9400251
Ironic - 2015 Remaster,Alanis Morissette,Jagged Little Pill (2015 Remaster),hits,Playlist track,USMV21500010
Exhale - Remastered,Whitney Houston,The Ultimate Collection,hits,Playlist track,USAR10000234
Sittin' Up In My Room - from Waiting to Exhale - Original Soundtrack,Brandy,Waiting To Exhale,hits,Playlist track,USAR19901177
It's All Coming Back to Me Now,Céline Dion,Falling into You,hits,Playlist track,CAC229800163
Change the World,Eric Clapton,Clapton Chronicles: The Best of Eric Clapton,hits,Playlist track,USRE19600049
Hey Lover,LL COOL J,Mr. Smith (Deluxe Edition),hits,Playlist track,USMO10000243
I'll Be Missing You (feat. Faith Evans & 112) - 2014 Remaster,Diddy,No Way Out (2014 Remaster),hits,Playlist track,USBB41400049
Un-Break My Heart,Toni Braxton,Secrets,hits,Playlist track,USLF29600015
Can't Nobody Hold Me Down (feat. Mase),Diddy,No Way Out,hits,Playlist track,USBB40580687
I Believe I Can Fly,R. Kelly,R.,hits,Playlist track,USJI19610437
Don't Let Go (Love) - 2012 Remaster,En Vogue,90s,hits,Playlist track,USEE11200806
Return of the Mack,Mark Morrison,Return of the Mack,hits,Playlist track,GBAHT0200668
How Do I Live,LeAnn Rimes,Greatest Hits,hits,Playlist track,USCRB9700025
Wannabe,Spice Girls,Spice,hits,Playlist track,GBAAA9600008
Quit Playing Games (With My Heart),Backstreet Boys,Backstreet Boys,hits,Playlist track,USJI19710152
You Make Me Wanna...,Usher,My Way,hits,Playlist track,USLF29900480
Bitch,Meredith Brooks,Blurring The Edges,hits,Playlist track,USCA29701376
Nobody (feat. Athena Cage),Keith Sweat,Keith Sweat,hits,Playlist track,USEE19900159
Semi-Charmed Life,Third Eye Blind,Third Eye Blind,hits,Playlist track,USEE19701203
Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,The Notorious B.I.G.,Life After Death (2014 Remastered Edition),hits,Playlist track,USAT21402732
Every Breath You Take,The Police,Synchronicity (Remastered 2003),hits,Playlist track,GBAAM0201110
Billie Jean,Michael Jackson,Thriller 25 Super Deluxe Edition,hits,Playlist track,USSM19902991
Flashdance- What A Feeling,Irene Cara,Disco Classics,hits,Playlist track,GBVUD0805248
Down Under,Men At Work,The Best Of Men At Work: Contraband,hits,Playlist track,USSM18100058
Beat It,Michael Jackson,Thriller 25 Super Deluxe Edition,hits,Playlist track,USSM19902990
Total Eclipse of the Heart,Bonnie Tyler,The Very Best of Bonnie Tyler,hits,Playlist track,GBBBN8300002
Maneater,Daryl Hall & John Oates,H2O,hits,Playlist track,USRC10301821
Sweet Dreams (Are Made of This) - Remastered,Eurythmics,Sweet Dreams (Are Made Of This),hits,Playlist track,GBARL0300589
Do You Really Want To Hurt Me,Culture Club,Kissing To Be Clever,hits,Playlist track,GBAAA8200048
You And I,Eddie Rabbitt,Radio Romance,hits,Playlist track,USCN19000144
Come On Eileen,Dexys Midnight Runners,Too Rye Ay,hits,Playlist track,GBF088200006
Shame On The Moon,Bob Seger,The Distance,hits,Playlist track,USCA28300029
Never Gonna Let You Go,Sérgio Mendes,Sergio Mendes,hits,Playlist track,USAM18300301
Let's Dance - 2018 Remaster,David Bowie,Let's Dance (2018 Remaster),hits,Playlist track,USJT11700482
Twilight Zone,Golden Earring,Cut,hits,Playlist track,NLC288200071
Hey Jude - Remastered 2015,The Beatles,1 (Remastered),hits,Playlist track,GBUM71505902
(Sittin' On) the Dock of the Bay,Otis Redding,The Dock of the Bay (Mono),hits,Playlist track,USAT21403443
This Guy's in Love with You,Herb Alpert,The Lonely Bull,hits,Playlist track,USESK1312450
"Mrs. Robinson - From ""The Graduate"" Soundtrack",Simon & Garfunkel,Bookends,hits,Playlist track,USSM16800379
Harper Valley P.T.A.,Jeannie C. Riley,"Live from Church Street Station, Vol. 2",hits,Playlist track,UKDNQ1522358
"Hello, I Love You",The Doors,Waiting for the Sun,hits,Playlist track,USEE19900744
Cry Like a Baby,The Box Tops,Cry Like A Baby,hits,Playlist track,USAR16800101
Dance to the Music,Sly & The Family Stone,Dance To The Music,hits,Playlist track,USSM19602683
Gangsta's Paradise,Coolio,Gangsta's Paradise,hits,Playlist track,USTB10400128
On Bended Knee,Boyz II Men,II,hits,Playlist track,USMO19400347
Fantasy,Mariah Carey,Daydream,hits,Playlist track,USSM19501031
Take a Bow,Madonna,Bedtime Stories,hits,Playlist track,USWB19400272
This Is How We Do It,Montell Jordan,Best Of Montell Jordan,hits,Playlist track,USUM70728132
Water Runs Dry,Boyz II Men,Twenty,hits,Playlist track,QMU9Z1100016
Freak Like Me,Adina Howard,Do You Wanna Ride?,hits,Playlist track,USEW19500001
Run-Around,Blues Traveler,Four,hits,Playlist track,USAM19400296
Have You Ever Really Loved A Woman?,Bryan Adams,18 Til I Die,hits,Playlist track,USAM19500599
Always,Bon Jovi,Cross Road,hits,Playlist track,USPR39412221
You Gotta Be,Des'ree,I Ain't Movin',hits,Playlist track,GBBBN0009325
Bette Davis Eyes,Kim Carnes,Mistaken Identity,hits,Playlist track,USCA28100081
Endless Love,Lionel Richie,Back To Front,hits,Playlist track,USMO18190008
