,Track name, Artist name, Album, Playlist name, Type, ISRC,category
113,I'm So Into You,SWV,It's About Time,hits,Playlist track,USRC19205517,Hit
114,End Of The Road,Boyz II Men,Cooleyhighharmony (Bonus Tracks Version),hits,Playlist track,USMO19200465,Hit
115,Baby Got Back,Sir Mix-A-Lot,Mack Daddy,hits,Playlist track,USSM19100221,Hit
116,Jump,Kris Kross,R&B: From Doo-Wop To Hip-Hop,hits,Playlist track,USSM19200696,Hit
117,Tears in Heaven,Eric Clapton,Rush (Music from the Motion Picture Soundtrack),hits,Playlist track,USRE19100010,Hit
118,My Lovin' (You're Never Gonna Get It),En Vogue,Funky Divas,hits,Playlist track,USEW19200001,Hit
119,Under the Bridge,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),hits,Playlist track,USWB19901576,Hit
120,Just Another Day,Jon Secada,Jon Secada,hits,Playlist track,USSB29200100,Hit
121,I Love Your Smile,Shanice,Inner Child,hits,Playlist track,USMO19190003,Hit
122,To Be With You,Mr. Big,Greatest Hits,hits,Playlist track,USAT20302609,Hit
123,I'm Too Sexy,Right Said Fred,Up,hits,Playlist track,GBBRL9290469,Hit
124,Black or White,Michael Jackson,Dangerous,hits,Playlist track,USSM19000733,Hit
125,Achy Breaky Heart,Billy Ray Cyrus,Some Gave All,hits,Playlist track,USPG19290113,Hit
126,I'll Be There,Mariah Carey,#1's,hits,Playlist track,USSM19200431,Hit
127,November Rain,Guns N' Roses,Use Your Illusion I,hits,Playlist track,USGF19141510,Hit
128,Life Is A Highway,Tom Cochrane,Mad Mad World (Deluxe),hits,Playlist track,CAUM71600209,Hit
129,Remember the Time,Michael Jackson,Dangerous,hits,Playlist track,USSM10020715,Hit
130,Finally,CeCe Peniston,Finally,hits,Playlist track,USWWW0130034,Hit
131,MMMBop - Single Version,Hanson,Kids Songs: Party Songs 2022,hits,Playlist track,USMR19786993,Hit
132,"Say You, Say Me",Lionel Richie,Dancing On The Ceiling (Expanded Edition),hits,Playlist track,USMO18582864,Hit
133,On My Own,Patti LaBelle,Winner In You,hits,Playlist track,USMC18618950,Hit
134,Broken Wings,Mr. Mister,Welcome To The Real World,hits,Playlist track,USRC18404638,Hit
135,How Will I Know,Whitney Houston,Whitney Houston,hits,Playlist track,USAR18500150,Hit
136,Party All the Time,Eddie Murphy,How Could It Be,hits,Playlist track,USSM19801503,Hit
137,"Burning Heart - From ""Rocky IV"" Soundtrack",Survivor,Survivor Greatest Hits,hits,Playlist track,USVR19300003,Hit
138,Kyrie,Mr. Mister,Welcome To The Real World,hits,Playlist track,USRC19900944,Hit
139,Addicted To Love,Robert Palmer,Riptide,hits,Playlist track,USIR28500003,Hit
140,Greatest Love of All,Whitney Houston,The Ultimate Collection,hits,Playlist track,USAR10000223,Hit
141,Secret Lovers,Atlantic Starr,Classics Volume 10,hits,Playlist track,USAM18502312,Hit
142,Centerfold,The J. Geils Band,Freeze Frame,hits,Playlist track,USCA28100075,Hit
143,West End Girls - 2001 Remaster,Pet Shop Boys,Please,hits,Playlist track,GBAYE0100001,Hit
